dataset,model,accuracy
ACSF1,FCN,0.896
Adiac,FCN,0.844501278772378
ArrowHead,FCN,0.84
BME,FCN,0.844
Beef,FCN,0.66
BeetleFly,FCN,0.9
BirdChicken,FCN,0.93
CBF,FCN,0.993777777777778
Car,FCN,0.906666666666667
Chinatown,FCN,0.979591836734694
ChlorineConcentration,FCN,0.804010416666667
CinCECGTorso,FCN,0.822898550724637
Coffee,FCN,1.0
Computers,FCN,0.8176
CricketX,FCN,0.791794871794872
CricketY,FCN,0.782051282051282
CricketZ,FCN,0.80051282051282
Crop,FCN,0.739535714285714
DiatomSizeReduction,FCN,0.358823529411765
DistalPhalanxOutlineAgeGroup,FCN,0.712230215827338
DistalPhalanxOutlineCorrect,FCN,0.760144927536232
DistalPhalanxTW,FCN,0.693525179856115
ECG200,FCN,0.88
ECG5000,FCN,0.940533333333333
ECGFiveDays,FCN,0.98815331010453
EOGHorizontalSignal,FCN,0.573480662983425
EOGVerticalSignal,FCN,0.45414364640884
Earthquakes,FCN,0.717985611510791
ElectricDevices,FCN,0.707456879782129
EthanolLevel,FCN,0.6796
FaceAll,FCN,0.93810650887574
FaceFour,FCN,0.927272727272727
FacesUCR,FCN,0.944292682926829
FiftyWords,FCN,0.651428571428571
Fish,FCN,0.961142857142857
FordA,FCN,0.916515151515151
FordB,FCN,0.779506172839506
FreezerRegularTrain,FCN,0.996561403508772
FreezerSmallTrain,FCN,0.697263157894737
GunPoint,FCN,0.997333333333333
GunPointAgeSpan,FCN,0.991772151898734
GunPointMaleVersusFemale,FCN,0.99620253164557
GunPointOldVersusYoung,FCN,0.987936507936508
Ham,FCN,0.714285714285714
HandOutlines,FCN,0.811351351351351
Haptics,FCN,0.474025974025974
Herring,FCN,0.65
HouseTwenty,FCN,0.981512605042017
InlineSkate,FCN,0.323272727272727
InsectEPGRegularTrain,FCN,0.998393574297189
InsectEPGSmallTrain,FCN,0.29718875502008
InsectWingbeatSound,FCN,0.392525252525252
ItalyPowerDemand,FCN,0.96268221574344
LargeKitchenAppliances,FCN,0.899733333333333
Lightning2,FCN,0.734426229508197
Lightning7,FCN,0.827397260273973
Mallat,FCN,0.970319829424307
Meat,FCN,0.783333333333333
MedicalImages,FCN,0.782631578947368
MiddlePhalanxOutlineAgeGroup,FCN,0.535064935064935
MiddlePhalanxOutlineCorrect,FCN,0.791752577319588
MiddlePhalanxTW,FCN,0.5
MixedShapesRegularTrain,FCN,0.957938144329897
MixedShapesSmallTrain,FCN,0.894268041237113
MoteStrain,FCN,0.934345047923323
NonInvasiveFetalECGThorax1,FCN,0.953791348600509
NonInvasiveFetalECGThorax2,FCN,0.952773536895674
OSULeaf,FCN,0.967768595041322
OliveOil,FCN,0.506666666666667
PhalangesOutlinesCorrect,FCN,0.821678321678322
Phoneme,FCN,0.32542194092827
PigAirwayPressure,FCN,0.192307692307692
PigArtPressure,FCN,0.9875
PigCVP,FCN,0.803846153846154
Plane,FCN,1.0
PowerCons,FCN,0.872222222222222
ProximalPhalanxOutlineAgeGroup,FCN,0.830243902439024
ProximalPhalanxOutlineCorrect,FCN,0.898969072164948
ProximalPhalanxTW,FCN,0.769756097560976
RefrigerationDevices,FCN,0.5104
Rock,FCN,0.632
ScreenType,FCN,0.620266666666667
SemgHandGenderCh2,FCN,0.831333333333333
SemgHandMovementCh2,FCN,0.478222222222222
SemgHandSubjectCh2,FCN,0.741777777777778
ShapeletSim,FCN,0.747777777777778
ShapesAll,FCN,0.892333333333333
SmallKitchenAppliances,FCN,0.776
SmoothSubspace,FCN,0.969333333333333
SonyAIBORobotSurface1,FCN,0.965058236272879
SonyAIBORobotSurface2,FCN,0.977334732423924
StarLightCurves,FCN,0.966270033997086
Strawberry,FCN,0.96972972972973
SwedishLeaf,FCN,0.96704
Symbols,FCN,0.964422110552764
SyntheticControl,FCN,0.987333333333333
ToeSegmentation1,FCN,0.959649122807017
